,num,runtime,success,number of backtracks,size,heuristics
0,.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,0.5831234455108643,1,0,4,DPLL
1,............942.8.16.....29........89.6.....14..25......4.......2...8.9..5....7..,0.5965702533721924,1,0,4,DPLL
2,.....7....9...1.......45..6....2.....36...41.5.....8.9........4....18....815...32,0.5666956901550293,1,6,4,DPLL
3,.5247.....6............8.1.4.......97..95.....2..4..3....8...9......37.6....91...,0.607560396194458,1,0,4,DPLL
4,.9.........1..6....6..8..7.3......1.....39.......5...217.4...28.....3....86....57,0.7836263179779053,1,0,4,DPLL
5,.....5....2...4.1..3..8..2......84..8..6......9..1.7.5..6......95...3.6...3.....1,0.9709184169769287,1,3,4,DPLL
6,5...68..........6..42.5.......8..9....1....4.9.3...62.7....1..9..42....3.8.......,0.6215953826904297,1,0,4,DPLL
7,.7..21..4....3....6.1.....2.......6...86..7.319.....4..1....2.842.9..............,0.5342607498168945,1,0,4,DPLL
8,........1..7.5.3.9..48...2...........3...57....942.........3.....1...4.7.6.278...,0.5744645595550537,1,0,4,DPLL
9,.....8..3.16.2.9.7.3...46...........9.5...2...2.13...9..3....2..7...5.........4..,0.6905138492584229,1,3,4,DPLL
10,..4.2..3....8.9.........7...5..37..8........5.49.6..1.5.........68........7.4.9.1,0.7240109443664551,1,0,4,DPLL
11,.....6..3..9.4...532......8....1......175.6.92......8.....6.......8...4.47....2..,0.5921227931976318,1,0,4,DPLL
12,.....8.2......693..98.7...1...........921....7......9624..9.......3..18.........3,0.8263084888458252,1,0,4,DPLL
13,..2.46.....4.8...5.7..3...9.....2...3.57.....7.....4....6....93....54.78.........,0.5720479488372803,1,1,4,DPLL
14,..3....4.4..2.........9..26....7.....1.9.2...26......85....7.......6.8.33......69,0.5297846794128418,1,0,4,DPLL
15,........3..5..2.14....8..6..........946.......3...42.6...7.........3.68..7.291...,0.578660249710083,1,2,4,DPLL
16,.2............48...54.18.3.7....1..4....86.5.......6........1......2...923.4....5,0.5468716621398926,1,0,4,DPLL
17,..9.43..........3.41..7.............8..5...6..4...6..2.......1...4.98..67..6..52.,0.6636395454406738,1,0,4,DPLL
18,.........4.6.7..9..5..382.........3.9..........426.....7...3..2..16..8...85...7..,0.7186214923858643,1,0,4,DPLL
19,...6.4...........3.1...26....2......6...9..158.4.....6.....7...976.5.......2.31..,0.5512323379516602,1,0,4,DPLL
20,....4.....5......9..3.784....1......62..........5.38......2......64..7.34.51...2.,0.5605626106262207,1,0,4,DPLL
21,...3.56....68..3...4.............8.5.5....412...9.......3.9........8..6..196.45..,0.599916934967041,1,0,4,DPLL
22,.2...7..5.........6...95..1.7...413.......2....1.5...67...1.8...8..7.......2...49,0.5913650989532471,1,0,4,DPLL
23,...5....3...82...13....179.17.............3..6..712.4..4..6.....9........6..5.2..,0.6676783561706543,1,0,4,DPLL
24,3......4...2..8....912...3...5.1..8..64.9.........5..618.7............65.7.9.....,0.6707665920257568,1,1,4,DPLL
25,....4....1..9..64..3....8....7.........1.859.......3...52..1....1.7.3...39..5...4,0.6405408382415771,1,0,4,DPLL
26,4....9.....541...3........7.......2..31.7...89.6..3.......9....1..6...8...75...46,0.714216947555542,1,1,4,DPLL
27,.8.4.....13...............84....1...5.7..2..3...9..1......2.78.2....6.3..76..3..9,1.6613898277282715,1,67,4,DPLL
28,.5.........6..5.91..9...38.4.......8....38..2.73..........1....28.47.5..6......7.,0.5532565116882324,1,0,4,DPLL
29,.1..6.9....9..5....3.....76..1.3...272.....4...8........73....93.5..76.........2.,0.760922908782959,1,0,4,DPLL
30,53..97..........7.....1..5......13....4..2...1.98..2.4........5.7....92..91.5....,0.7276999950408936,1,2,4,DPLL
31,..........7...62.81......54..3.5.......3....22..8....69......8.3...7......7.254.1,0.6868677139282227,1,0,4,DPLL
32,...6....445....2......893..97......3.63........4..27..6.9.5.............5....3.61,0.6359043121337891,1,3,4,DPLL
