,num,runtime,success,number of backtracks,size,heuristics
0,.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,0.6564285755157471,1,1,4,MOM
1,............942.8.16.....29........89.6.....14..25......4.......2...8.9..5....7..,0.851006269454956,1,0,4,MOM
2,.....7....9...1.......45..6....2.....36...41.5.....8.9........4....18....815...32,0.7218537330627441,1,0,4,MOM
3,.5247.....6............8.1.4.......97..95.....2..4..3....8...9......37.6....91...,0.5475075244903564,1,0,4,MOM
4,.9.........1..6....6..8..7.3......1.....39.......5...217.4...28.....3....86....57,0.8624014854431152,1,0,4,MOM
5,.....5....2...4.1..3..8..2......84..8..6......9..1.7.5..6......95...3.6...3.....1,0.5518853664398193,1,0,4,MOM
6,5...68..........6..42.5.......8..9....1....4.9.3...62.7....1..9..42....3.8.......,0.559581995010376,1,0,4,MOM
7,.7..21..4....3....6.1.....2.......6...86..7.319.....4..1....2.842.9..............,0.5805981159210205,1,0,4,MOM
8,........1..7.5.3.9..48...2...........3...57....942.........3.....1...4.7.6.278...,0.5685515403747559,1,0,4,MOM
9,.....8..3.16.2.9.7.3...46...........9.5...2...2.13...9..3....2..7...5.........4..,0.5804495811462402,1,2,4,MOM
10,..4.2..3....8.9.........7...5..37..8........5.49.6..1.5.........68........7.4.9.1,0.5455985069274902,1,4,4,MOM
11,.....6..3..9.4...532......8....1......175.6.92......8.....6.......8...4.47....2..,0.5250816345214844,1,0,4,MOM
12,.....8.2......693..98.7...1...........921....7......9624..9.......3..18.........3,0.70839524269104,1,1,4,MOM
13,..2.46.....4.8...5.7..3...9.....2...3.57.....7.....4....6....93....54.78.........,0.5457496643066406,1,0,4,MOM
14,..3....4.4..2.........9..26....7.....1.9.2...26......85....7.......6.8.33......69,0.6730566024780273,1,0,4,MOM
15,........3..5..2.14....8..6..........946.......3...42.6...7.........3.68..7.291...,0.5568180084228516,1,2,4,MOM
16,.2............48...54.18.3.7....1..4....86.5.......6........1......2...923.4....5,0.5612742900848389,1,0,4,MOM
17,..9.43..........3.41..7.............8..5...6..4...6..2.......1...4.98..67..6..52.,0.5494527816772461,1,0,4,MOM
18,.........4.6.7..9..5..382.........3.9..........426.....7...3..2..16..8...85...7..,0.5839822292327881,1,0,4,MOM
19,...6.4...........3.1...26....2......6...9..158.4.....6.....7...976.5.......2.31..,0.5780589580535889,1,0,4,MOM
20,....4.....5......9..3.784....1......62..........5.38......2......64..7.34.51...2.,0.5429983139038086,1,0,4,MOM
21,...3.56....68..3...4.............8.5.5....412...9.......3.9........8..6..196.45..,0.5595591068267822,1,0,4,MOM
22,.2...7..5.........6...95..1.7...413.......2....1.5...67...1.8...8..7.......2...49,0.5390598773956299,1,2,4,MOM
23,...5....3...82...13....179.17.............3..6..712.4..4..6.....9........6..5.2..,0.5642538070678711,1,0,4,MOM
24,3......4...2..8....912...3...5.1..8..64.9.........5..618.7............65.7.9.....,0.5474746227264404,1,2,4,MOM
25,....4....1..9..64..3....8....7.........1.859.......3...52..1....1.7.3...39..5...4,0.5724074840545654,1,2,4,MOM
26,4....9.....541...3........7.......2..31.7...89.6..3.......9....1..6...8...75...46,0.6672317981719971,1,0,4,MOM
27,.8.4.....13...............84....1...5.7..2..3...9..1......2.78.2....6.3..76..3..9,0.5066165924072266,1,0,4,MOM
28,.5.........6..5.91..9...38.4.......8....38..2.73..........1....28.47.5..6......7.,0.6653890609741211,1,0,4,MOM
29,.1..6.9....9..5....3.....76..1.3...272.....4...8........73....93.5..76.........2.,0.5639021396636963,1,0,4,MOM
30,53..97..........7.....1..5......13....4..2...1.98..2.4........5.7....92..91.5....,0.5550169944763184,1,1,4,MOM
31,..........7...62.81......54..3.5.......3....22..8....69......8.3...7......7.254.1,0.6176254749298096,1,0,4,MOM
32,...6....445....2......893..97......3.63........4..27..6.9.5.............5....3.61,0.69669508934021,1,1,4,MOM
33,.3..1........427.3.2.9.6.4.5...2....349..............1.....9.....6....8...5..346.,0.5330367088317871,1,0,4,MOM
34,....6.....5....97...2..5......2...8..74.......85.4.2.1..1..7...6....4...92.6..1..,0.6887249946594238,1,0,4,MOM
35,...............731.541....8......5...219.4....4..6...7...58.........7.9..98.1...2,0.6387419700622559,1,7,4,MOM
36,..8.........63...4..1...63..3...9...4......62......14....5..79.17.........54...83,0.5175051689147949,1,0,4,MOM
37,.........9..1....2..4.28...65....7....1.....3..97.2........5.7..4.....61.35.1.9..,0.6375167369842529,1,1,4,MOM
38,.....2....134.9..27.9....15.....5...1...8...6.6.97..8.5....6.....2.........2...3.,0.5315592288970947,1,0,4,MOM
