,num,runtime,success,number of backtracks
0,.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,0.5682761669158936,1,1
1,............942.8.16.....29........89.6.....14..25......4.......2...8.9..5....7..,0.6060903072357178,1,0
2,.....7....9...1.......45..6....2.....36...41.5.....8.9........4....18....815...32,0.6841375827789307,1,15
3,.5247.....6............8.1.4.......97..95.....2..4..3....8...9......37.6....91...,0.6695363521575928,1,0
4,.9.........1..6....6..8..7.3......1.....39.......5...217.4...28.....3....86....57,0.6545901298522949,1,0
5,.....5....2...4.1..3..8..2......84..8..6......9..1.7.5..6......95...3.6...3.....1,0.7186768054962158,1,0
6,5...68..........6..42.5.......8..9....1....4.9.3...62.7....1..9..42....3.8.......,0.6578750610351562,1,0
7,.7..21..4....3....6.1.....2.......6...86..7.319.....4..1....2.842.9..............,0.6834573745727539,1,0
8,........1..7.5.3.9..48...2...........3...57....942.........3.....1...4.7.6.278...,0.644402265548706,1,0
9,.....8..3.16.2.9.7.3...46...........9.5...2...2.13...9..3....2..7...5.........4..,0.6781632900238037,1,5
