,num,runtime,success,number of backtracks,size,heuristics
0,.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,0.6480531692504883,1,6,9,Jeroslow
1,............942.8.16.....29........89.6.....14..25......4.......2...8.9..5....7..,0.6412482261657715,1,0,9,Jeroslow
2,.....7....9...1.......45..6....2.....36...41.5.....8.9........4....18....815...32,0.7720859050750732,1,18,9,Jeroslow
3,.5247.....6............8.1.4.......97..95.....2..4..3....8...9......37.6....91...,0.6296110153198242,1,0,9,Jeroslow
4,.9.........1..6....6..8..7.3......1.....39.......5...217.4...28.....3....86....57,0.6300005912780762,1,0,9,Jeroslow
5,.....5....2...4.1..3..8..2......84..8..6......9..1.7.5..6......95...3.6...3.....1,0.6261827945709229,1,0,9,Jeroslow
6,5...68..........6..42.5.......8..9....1....4.9.3...62.7....1..9..42....3.8.......,0.6406269073486328,1,0,9,Jeroslow
7,.7..21..4....3....6.1.....2.......6...86..7.319.....4..1....2.842.9..............,0.631497859954834,1,0,9,Jeroslow
8,........1..7.5.3.9..48...2...........3...57....942.........3.....1...4.7.6.278...,0.634223222732544,1,0,9,Jeroslow
9,.....8..3.16.2.9.7.3...46...........9.5...2...2.13...9..3....2..7...5.........4..,0.6562526226043701,1,2,9,Jeroslow
10,..4.2..3....8.9.........7...5..37..8........5.49.6..1.5.........68........7.4.9.1,1.4074223041534424,1,126,9,Jeroslow
11,.....6..3..9.4...532......8....1......175.6.92......8.....6.......8...4.47....2..,0.6297574043273926,1,0,9,Jeroslow
12,.....8.2......693..98.7...1...........921....7......9624..9.......3..18.........3,0.6479980945587158,1,5,9,Jeroslow
13,..2.46.....4.8...5.7..3...9.....2...3.57.....7.....4....6....93....54.78.........,0.6280038356781006,1,0,9,Jeroslow
14,..3....4.4..2.........9..26....7.....1.9.2...26......85....7.......6.8.33......69,0.6142559051513672,1,0,9,Jeroslow
15,........3..5..2.14....8..6..........946.......3...42.6...7.........3.68..7.291...,0.6406376361846924,1,2,9,Jeroslow
16,.2............48...54.18.3.7....1..4....86.5.......6........1......2...923.4....5,0.6463112831115723,1,0,9,Jeroslow
17,..9.43..........3.41..7.............8..5...6..4...6..2.......1...4.98..67..6..52.,0.6250126361846924,1,0,9,Jeroslow
18,.........4.6.7..9..5..382.........3.9..........426.....7...3..2..16..8...85...7..,0.6562626361846924,1,0,9,Jeroslow
19,...6.4...........3.1...26....2......6...9..158.4.....6.....7...976.5.......2.31..,0.6249980926513672,1,0,9,Jeroslow
20,....4.....5......9..3.784....1......62..........5.38......2......64..7.34.51...2.,0.6373677253723145,1,0,9,Jeroslow
21,...3.56....68..3...4.............8.5.5....412...9.......3.9........8..6..196.45..,0.634357213973999,1,0,9,Jeroslow
22,.2...7..5.........6...95..1.7...413.......2....1.5...67...1.8...8..7.......2...49,0.7968893051147461,1,31,9,Jeroslow
23,...5....3...82...13....179.17.............3..6..712.4..4..6.....9........6..5.2..,0.6314940452575684,1,0,9,Jeroslow
24,3......4...2..8....912...3...5.1..8..64.9.........5..618.7............65.7.9.....,0.6486523151397705,1,4,9,Jeroslow
25,....4....1..9..64..3....8....7.........1.859.......3...52..1....1.7.3...39..5...4,0.6633768081665039,1,6,9,Jeroslow
26,4....9.....541...3........7.......2..31.7...89.6..3.......9....1..6...8...75...46,0.6406373977661133,1,2,9,Jeroslow
27,.8.4.....13...............84....1...5.7..2..3...9..1......2.78.2....6.3..76..3..9,0.734365701675415,1,8,9,Jeroslow
28,.5.........6..5.91..9...38.4.......8....38..2.73..........1....28.47.5..6......7.,0.6280522346496582,1,0,9,Jeroslow
29,.1..6.9....9..5....3.....76..1.3...272.....4...8........73....93.5..76.........2.,0.6393680572509766,1,0,9,Jeroslow
30,53..97..........7.....1..5......13....4..2...1.98..2.4........5.7....92..91.5....,0.6422557830810547,1,2,9,Jeroslow
31,..........7...62.81......54..3.5.......3....22..8....69......8.3...7......7.254.1,0.6346831321716309,1,0,9,Jeroslow
32,...6....445....2......893..97......3.63........4..27..6.9.5.............5....3.61,0.6718876361846924,1,10,9,Jeroslow
33,.3..1........427.3.2.9.6.4.5...2....349..............1.....9.....6....8...5..346.,0.6406371593475342,1,0,9,Jeroslow
34,....6.....5....97...2..5......2...8..74.......85.4.2.1..1..7...6....4...92.6..1..,0.8865742683410645,1,43,9,Jeroslow
35,...............731.541....8......5...219.4....4..6...7...58.........7.9..98.1...2,0.9143650531768799,1,41,9,Jeroslow
36,..8.........63...4..1...63..3...9...4......62......14....5..79.17.........54...83,0.6406261920928955,1,1,9,Jeroslow
37,.........9..1....2..4.28...65....7....1.....3..97.2........5.7..4.....61.35.1.9..,0.6406376361846924,1,1,9,Jeroslow
38,.....2....134.9..27.9....15.....5...1...8...6.6.97..8.5....6.....2.........2...3.,0.6463742256164551,1,0,9,Jeroslow
39,.....8..9......28..3..7.....48..........2....6.7..913......39...9..1.4..57.6....1,0.6406381130218506,1,0,9,Jeroslow
40,...71....5..............53.16..2.3......3...9.456......9.2...7.6.....2.3.....6.81,1.6250123977661133,1,96,9,Jeroslow
41,............8.5.492...6.3.1..9..........21.38...3.......5........6..48..13...96.2,0.6250009536743164,1,0,9,Jeroslow
42,.....2.73.8.........57..2..9......1.8.......46..815.9.......46.4.....5.2....96...,0.6250131130218506,1,0,9,Jeroslow
43,..........7.48..9...4.2.37.1....5..2.....3..7..3...64..4.........631.........891.,0.6406242847442627,1,2,9,Jeroslow
44,.............67.....7.8..12..........3...65..5.1...893.7.........9..1.24..439...8,0.771399736404419,1,28,9,Jeroslow
45,.......13....4......4698...........8.3....7...28.69.....1.3..6...92....76...8...1,0.6702256202697754,1,2,9,Jeroslow
46,.......1..2....93..65.3....94..5......78..2..6..........12....4...6.98........127,0.6406378746032715,1,0,9,Jeroslow
47,5.1.83..7...72...........1...8....2..1..5.9....3.....1...9...8..4...75..39.4.....,0.6250016689300537,1,0,9,Jeroslow
48,.5....8...1.....32..8.....6.9........4.8..6.5.....7.....2.7...33....1..4..562..1.,0.9375007152557373,1,45,9,Jeroslow
49,..5..1.8..4......9..7659.1........7...42......1....8.6....35..........9.97....1.8,0.7343871593475342,1,22,9,Jeroslow
50,..7....3..5...9..19.........2.......5...3..29.8..741.3...4.8.....2.....6....158..,0.6406245231628418,1,0,9,Jeroslow
51,....5...........4...36.1..8......7.1.2..1.8...7...9...4....3........659..59..72.6,0.6463296413421631,1,0,9,Jeroslow
52,9.58...76.........7...49.3.........9..1..82.....37.....7.......43...5.8...8.9...5,0.6406383514404297,1,4,9,Jeroslow
53,...1......98.2...63...4..5.5.......3.61.........7..86...7.8.3..........9..52..4.8,0.6406376361846924,1,0,9,Jeroslow
54,..3..........285..2......7......2..4.1.....2363...1.571....4.8..5....9...9.7.....,1.0273590087890625,1,54,9,Jeroslow
55,.7.....9....4...82..21.9......5..4......1...71.36......2....3....5...1..8.1.26...,0.9218759536743164,1,55,9,Jeroslow
56,.6........4.7...8......613.1..4....5....2.8...5.....76...2..3..8...4..2.79...8...,0.6406266689300537,1,0,9,Jeroslow
57,.......5........21.39......4...51..7.17..49.....36.5......15...9.....16.64.......,0.6406373977661133,1,0,9,Jeroslow
58,3....75.17.8..6......8....38....479..9...........23...962.....7.......6.....4.9..,0.6307494640350342,1,0,9,Jeroslow
59,17.....36....9..4.3.6....8.6....82.12....5.......1....8....7....5...........51.63,0.7812514305114746,1,13,9,Jeroslow
60,.........7...4.....9...612.4...1...7....2.5..5.1.98........1.6.....6.28....4.53..,0.6525468826293945,1,0,9,Jeroslow
61,74..6..3...2..5....18..2..9.8..2.6..9......7...4.8......37.....6...9.....2...4...,0.6322112083435059,1,0,9,Jeroslow
62,9...6........3.....3.8..4.6..5........9.8.3....4...297.2......4...3.....68.2...15,0.6562530994415283,1,6,9,Jeroslow
63,.5367...9.......5.....2..16.....37.29......6....5......2..1...51.6....9....9...4.,0.6250131130218506,1,0,9,Jeroslow
64,.....185...2..8.313..5..4..641......9....5..........8....9.6............5.9.4..72,0.6406376361846924,1,0,9,Jeroslow
65,.....5.3...79..1...3....7.5.51....978....1.56.....8..........28.74.2.....9.......,0.7400639057159424,1,22,9,Jeroslow
66,..1....8......45....5.7......273..........2..358.1....2.3.56...9.......1..6.9.7..,0.6269099712371826,1,0,9,Jeroslow
67,.4........12........82..537......2..3...8...4..53.7.......4..6.9......7.2..79...1,0.6391355991363525,1,0,9,Jeroslow
68,26..7..38....1..7......46.2.1...5....9.23.4.......72...........7......8...1..87..,0.6458032131195068,1,0,9,Jeroslow
69,..1.2.....8...5.9..6.4..1......8..3.....42.5..97................7.....4..32.176.5,0.6393773555755615,1,0,9,Jeroslow
70,..8.91.6....24....9...7..2...2...9....5....8.8..63.7.......7..1.56...4...1.......,0.6610002517700195,1,2,9,Jeroslow
71,...3..59...9.....3....6..7.4.8.1........9.......52.9.86.....7....58..3..1......64,0.6446480751037598,1,0,9,Jeroslow
72,.51..8....7.692.3......3.....7....92....7...1.6....45...........9..8.6..64.5.....,0.6577672958374023,1,4,9,Jeroslow
73,...3.....8..6...154...5.........4...2...6..8..7..9.34.....2...9..1..84..7.8....2.,3.0075223445892334,1,516,9,Jeroslow
74,.....3..1.4....83...5.4.....641...8..1...7......3....75.9....6.....3..5....87...3,0.6361782550811768,1,0,9,Jeroslow
75,.28..5...4..1..........3......4..85....2.....1...7...37...9..4.98.5....656...2...,0.6411199569702148,1,0,9,Jeroslow
76,......5..3.........9..18...1..9..26..6....4..98.1......7.3.........2.316.4.8....5,0.6526107788085938,1,0,9,Jeroslow
77,............1.962..6...7.59..1.......9.8.4..2......346..8.....19.6..3.........58.,0.6498651504516602,1,0,9,Jeroslow
78,........95...6..3..7...25..............7.4.6..32981...........8..5.2....76.39...2,0.920363187789917,1,65,9,Jeroslow
79,.....6.57...5.....1...8.3..8...32.....6.1.59.........6...1.........2.97.5.17..8..,0.6307892799377441,1,2,9,Jeroslow
80,....16..7...7..93.2.7.....8839..........38..15........7......8..5.1........5.94..,0.7187626361846924,1,10,9,Jeroslow
81,4...187..8.......2.....4..............6.53..1..726.43...1.7...6.3...1.8....6.....,0.6406269073486328,1,2,9,Jeroslow
82,.....24..5.....9.8.2..65.7..8..3...1.74.......6......9.....4..5.......3..12..78..,0.6467177867889404,1,0,9,Jeroslow
83,8.63......13....9....6....27..........5.6......1.492...3..1.........2.47....368..,0.9990115165710449,1,68,9,Jeroslow
84,....91......2..87....6..1......5........6...3..79..2165......2.28..3.5....3..7...,0.6347639560699463,1,0,9,Jeroslow
85,.9.........8.2.3....6......5.....4...1...528......4.73....6.83..6.1...2.18.2.....,0.646484375,1,1,9,Jeroslow
86,..5.......17.53..9.8.1...3...4..1.2...2....95...38.6.....7......2...43.......9...,0.6544041633605957,1,7,9,Jeroslow
87,....6..59.84.1.3.......7.....8.........3....15..4..9..4.........5.78.24..97.....3,0.6340000629425049,1,0,9,Jeroslow
88,......9.2..9....1.....65.....7.2........5..34.2.4...98.5...1....8...7..3.16.....5,0.641535758972168,1,3,9,Jeroslow
89,.8......36.....9.7....5..6.....9.......4.36..159..2........8.9..2...1.4...35....8,0.6692261695861816,1,14,9,Jeroslow
