,num,runtime,success,number of backtracks,size,heuristics
0,.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,0.6281213760375977,1,1,9,MOM
1,............942.8.16.....29........89.6.....14..25......4.......2...8.9..5....7..,0.6424524784088135,1,0,9,MOM
2,.....7....9...1.......45..6....2.....36...41.5.....8.9........4....18....815...32,0.6303281784057617,1,0,9,MOM
3,.5247.....6............8.1.4.......97..95.....2..4..3....8...9......37.6....91...,0.6303610801696777,1,0,9,MOM
4,.9.........1..6....6..8..7.3......1.....39.......5...217.4...28.....3....86....57,0.63558030128479,1,0,9,MOM
5,.....5....2...4.1..3..8..2......84..8..6......9..1.7.5..6......95...3.6...3.....1,0.6389408111572266,1,0,9,MOM
6,5...68..........6..42.5.......8..9....1....4.9.3...62.7....1..9..42....3.8.......,0.6319258213043213,1,0,9,MOM
7,.7..21..4....3....6.1.....2.......6...86..7.319.....4..1....2.842.9..............,0.6417858600616455,1,0,9,MOM
8,........1..7.5.3.9..48...2...........3...57....942.........3.....1...4.7.6.278...,0.6271538734436035,1,0,9,MOM
9,.....8..3.16.2.9.7.3...46...........9.5...2...2.13...9..3....2..7...5.........4..,0.6368165016174316,1,2,9,MOM
10,..4.2..3....8.9.........7...5..37..8........5.49.6..1.5.........68........7.4.9.1,0.6595675945281982,1,4,9,MOM
11,.....6..3..9.4...532......8....1......175.6.92......8.....6.......8...4.47....2..,0.6353752613067627,1,0,9,MOM
12,.....8.2......693..98.7...1...........921....7......9624..9.......3..18.........3,0.639998197555542,1,1,9,MOM
13,..2.46.....4.8...5.7..3...9.....2...3.57.....7.....4....6....93....54.78.........,0.647268533706665,1,0,9,MOM
14,..3....4.4..2.........9..26....7.....1.9.2...26......85....7.......6.8.33......69,0.6107664108276367,1,0,9,MOM
15,........3..5..2.14....8..6..........946.......3...42.6...7.........3.68..7.291...,0.6369669437408447,1,2,9,MOM
16,.2............48...54.18.3.7....1..4....86.5.......6........1......2...923.4....5,0.6408767700195312,1,0,9,MOM
17,..9.43..........3.41..7.............8..5...6..4...6..2.......1...4.98..67..6..52.,0.6259653568267822,1,0,9,MOM
18,.........4.6.7..9..5..382.........3.9..........426.....7...3..2..16..8...85...7..,0.6311616897583008,1,0,9,MOM
19,...6.4...........3.1...26....2......6...9..158.4.....6.....7...976.5.......2.31..,0.6390736103057861,1,0,9,MOM
20,....4.....5......9..3.784....1......62..........5.38......2......64..7.34.51...2.,0.6295425891876221,1,0,9,MOM
21,...3.56....68..3...4.............8.5.5....412...9.......3.9........8..6..196.45..,0.6308016777038574,1,0,9,MOM
22,.2...7..5.........6...95..1.7...413.......2....1.5...67...1.8...8..7.......2...49,0.638418436050415,1,2,9,MOM
23,...5....3...82...13....179.17.............3..6..712.4..4..6.....9........6..5.2..,0.6370992660522461,1,0,9,MOM
24,3......4...2..8....912...3...5.1..8..64.9.........5..618.7............65.7.9.....,0.6400561332702637,1,2,9,MOM
25,....4....1..9..64..3....8....7.........1.859.......3...52..1....1.7.3...39..5...4,0.6313369274139404,1,2,9,MOM
26,4....9.....541...3........7.......2..31.7...89.6..3.......9....1..6...8...75...46,0.6370649337768555,1,0,9,MOM
27,.8.4.....13...............84....1...5.7..2..3...9..1......2.78.2....6.3..76..3..9,0.637054443359375,1,0,9,MOM
28,.5.........6..5.91..9...38.4.......8....38..2.73..........1....28.47.5..6......7.,0.6357407569885254,1,0,9,MOM
29,.1..6.9....9..5....3.....76..1.3...272.....4...8........73....93.5..76.........2.,0.6444728374481201,1,0,9,MOM
30,53..97..........7.....1..5......13....4..2...1.98..2.4........5.7....92..91.5....,0.6466319561004639,1,1,9,MOM
31,..........7...62.81......54..3.5.......3....22..8....69......8.3...7......7.254.1,0.6358699798583984,1,0,9,MOM
32,...6....445....2......893..97......3.63........4..27..6.9.5.............5....3.61,0.6364412307739258,1,1,9,MOM
33,.3..1........427.3.2.9.6.4.5...2....349..............1.....9.....6....8...5..346.,0.6498429775238037,1,0,9,MOM
34,....6.....5....97...2..5......2...8..74.......85.4.2.1..1..7...6....4...92.6..1..,0.6210360527038574,1,0,9,MOM
35,...............731.541....8......5...219.4....4..6...7...58.........7.9..98.1...2,0.747075080871582,1,7,9,MOM
36,..8.........63...4..1...63..3...9...4......62......14....5..79.17.........54...83,0.6299316883087158,1,0,9,MOM
37,.........9..1....2..4.28...65....7....1.....3..97.2........5.7..4.....61.35.1.9..,0.6245377063751221,1,1,9,MOM
38,.....2....134.9..27.9....15.....5...1...8...6.6.97..8.5....6.....2.........2...3.,0.6411280632019043,1,0,9,MOM
39,.....8..9......28..3..7.....48..........2....6.7..913......39...9..1.4..57.6....1,0.6171960830688477,1,0,9,MOM
40,...71....5..............53.16..2.3......3...9.456......9.2...7.6.....2.3.....6.81,0.7891180515289307,1,22,9,MOM
41,............8.5.492...6.3.1..9..........21.38...3.......5........6..48..13...96.2,0.6452856063842773,1,0,9,MOM
42,.....2.73.8.........57..2..9......1.8.......46..815.9.......46.4.....5.2....96...,0.628925085067749,1,0,9,MOM
43,..........7.48..9...4.2.37.1....5..2.....3..7..3...64..4.........631.........891.,0.642204999923706,1,1,9,MOM
44,.............67.....7.8..12..........3...65..5.1...893.7.........9..1.24..439...8,0.6907432079315186,1,6,9,MOM
45,.......13....4......4698...........8.3....7...28.69.....1.3..6...92....76...8...1,0.6566162109375,1,2,9,MOM
46,.......1..2....93..65.3....94..5......78..2..6..........12....4...6.98........127,0.6441516876220703,1,0,9,MOM
47,5.1.83..7...72...........1...8....2..1..5.9....3.....1...9...8..4...75..39.4.....,0.6357581615447998,1,0,9,MOM
48,.5....8...1.....32..8.....6.9........4.8..6.5.....7.....2.7...33....1..4..562..1.,0.6657931804656982,1,4,9,MOM
49,..5..1.8..4......9..7659.1........7...42......1....8.6....35..........9.97....1.8,0.6348402500152588,1,1,9,MOM
50,..7....3..5...9..19.........2.......5...3..29.8..741.3...4.8.....2.....6....158..,0.6364386081695557,1,0,9,MOM
51,....5...........4...36.1..8......7.1.2..1.8...7...9...4....3........659..59..72.6,0.6304497718811035,1,0,9,MOM
52,9.58...76.........7...49.3.........9..1..82.....37.....7.......43...5.8...8.9...5,0.6237401962280273,1,1,9,MOM
53,...1......98.2...63...4..5.5.......3.61.........7..86...7.8.3..........9..52..4.8,0.6488678455352783,1,0,9,MOM
54,..3..........285..2......7......2..4.1.....2363...1.571....4.8..5....9...9.7.....,0.6203579902648926,1,0,9,MOM
55,.7.....9....4...82..21.9......5..4......1...71.36......2....3....5...1..8.1.26...,0.6860802173614502,1,5,9,MOM
56,.6........4.7...8......613.1..4....5....2.8...5.....76...2..3..8...4..2.79...8...,0.637890100479126,1,0,9,MOM
57,.......5........21.39......4...51..7.17..49.....36.5......15...9.....16.64.......,0.648815393447876,1,0,9,MOM
58,3....75.17.8..6......8....38....479..9...........23...962.....7.......6.....4.9..,0.6958541870117188,1,8,9,MOM
59,17.....36....9..4.3.6....8.6....82.12....5.......1....8....7....5...........51.63,0.6641616821289062,1,3,9,MOM
60,.........7...4.....9...612.4...1...7....2.5..5.1.98........1.6.....6.28....4.53..,0.7039129734039307,1,14,9,MOM
61,74..6..3...2..5....18..2..9.8..2.6..9......7...4.8......37.....6...9.....2...4...,0.6470203399658203,1,0,9,MOM
62,9...6........3.....3.8..4.6..5........9.8.3....4...297.2......4...3.....68.2...15,0.6328141689300537,1,1,9,MOM
63,.5367...9.......5.....2..16.....37.29......6....5......2..1...51.6....9....9...4.,0.6333835124969482,1,0,9,MOM
64,.....185...2..8.313..5..4..641......9....5..........8....9.6............5.9.4..72,0.632828950881958,1,0,9,MOM
65,.....5.3...79..1...3....7.5.51....978....1.56.....8..........28.74.2.....9.......,0.6789669990539551,1,5,9,MOM
66,..1....8......45....5.7......273..........2..358.1....2.3.56...9.......1..6.9.7..,0.6417922973632812,1,0,9,MOM
67,.4........12........82..537......2..3...8...4..53.7.......4..6.9......7.2..79...1,0.6691155433654785,1,6,9,MOM
68,26..7..38....1..7......46.2.1...5....9.23.4.......72...........7......8...1..87..,0.6346237659454346,1,0,9,MOM
69,..1.2.....8...5.9..6.4..1......8..3.....42.5..97................7.....4..32.176.5,0.6378169059753418,1,0,9,MOM
70,..8.91.6....24....9...7..2...2...9....5....8.8..63.7.......7..1.56...4...1.......,0.7259178161621094,1,8,9,MOM
71,...3..59...9.....3....6..7.4.8.1........9.......52.9.86.....7....58..3..1......64,0.6499998569488525,1,1,9,MOM
72,.51..8....7.692.3......3.....7....92....7...1.6....45...........9..8.6..64.5.....,0.6537947654724121,1,4,9,MOM
73,...3.....8..6...154...5.........4...2...6..8..7..9.34.....2...9..1..84..7.8....2.,0.6723523139953613,1,4,9,MOM
74,.....3..1.4....83...5.4.....641...8..1...7......3....75.9....6.....3..5....87...3,0.6553187370300293,1,0,9,MOM
75,.28..5...4..1..........3......4..85....2.....1...7...37...9..4.98.5....656...2...,0.6349575519561768,1,0,9,MOM
76,......5..3.........9..18...1..9..26..6....4..98.1......7.3.........2.316.4.8....5,0.6410002708435059,1,0,9,MOM
77,............1.962..6...7.59..1.......9.8.4..2......346..8.....19.6..3.........58.,0.6473181247711182,1,0,9,MOM
78,........95...6..3..7...25..............7.4.6..32981...........8..5.2....76.39...2,0.6849973201751709,1,5,9,MOM
79,.....6.57...5.....1...8.3..8...32.....6.1.59.........6...1.........2.97.5.17..8..,0.6419169902801514,1,1,9,MOM
80,....16..7...7..93.2.7.....8839..........38..15........7......8..5.1........5.94..,0.6742615699768066,1,3,9,MOM
81,4...187..8.......2.....4..............6.53..1..726.43...1.7...6.3...1.8....6.....,0.6579978466033936,1,2,9,MOM
82,.....24..5.....9.8.2..65.7..8..3...1.74.......6......9.....4..5.......3..12..78..,0.634218692779541,1,0,9,MOM
83,8.63......13....9....6....27..........5.6......1.492...3..1.........2.47....368..,0.635441780090332,1,1,9,MOM
84,....91......2..87....6..1......5........6...3..79..2165......2.28..3.5....3..7...,0.6439998149871826,1,0,9,MOM
85,.9.........8.2.3....6......5.....4...1...528......4.73....6.83..6.1...2.18.2.....,0.6509096622467041,1,1,9,MOM
86,..5.......17.53..9.8.1...3...4..1.2...2....95...38.6.....7......2...43.......9...,0.6498310565948486,1,1,9,MOM
87,....6..59.84.1.3.......7.....8.........3....15..4..9..4.........5.78.24..97.....3,0.6294803619384766,1,0,9,MOM
88,......9.2..9....1.....65.....7.2........5..34.2.4...98.5...1....8...7..3.16.....5,0.6397035121917725,1,0,9,MOM
89,.8......36.....9.7....5..6.....9.......4.36..159..2........8.9..2...1.4...35....8,0.6457927227020264,1,3,9,MOM
90,1..9......8..7.4..4.5..2...........39...36.7.....1..9....24....2.45.1..8......7..,0.6337645053863525,1,1,9,MOM
91,..7..6.........1.4.4.2.3..94.8.....69..81.........9..........3...1.35.8.2....85..,0.6632320880889893,1,2,9,MOM
92,..43..8.78....2.3..3...6.....69.5..2.9..7..4................5.6.........389.5..7.,0.6295356750488281,1,0,9,MOM
93,..42..7..2...6.......3..1....5..7..9.8.6....74.9..1.8..........61..52.4.........8,0.6384408473968506,1,0,9,MOM
94,..1....5..36.5...9..79....6.......3.6..8.1.......6.1.5.........598.2.....2..73...,0.6451666355133057,1,0,9,MOM
95,.....8.13......8....7.2..5..3...........965..5.8..7.21.5.3..4...........8...51..7,0.651777982711792,1,3,9,MOM
